Line,Station,Lat,Long,E_WGS84_Z7,N_WGS84_Z7,ALT,Az,Dur,Noise,rE_0011,rE_0022,rE_0045,rE_0090,rE_0180,rE_0360,rE_0720,rE_1440,rN_0011,rN_0022,rN_0045,rN_0090,rN_0180,rN_0360,rN_0720,rN_1440,iE_0011,iE_0022,iE_0045,iE_0090,iE_0180,iE_0360,iE_0720,iE_1440,iN_0011,iN_0022,iN_0045,iN_0090,iN_0180,iN_0360,iN_0720,iN_1440,SNI_0011,SNI_0022,SNI_0045,SNI_0090,SNI_0180,SNI_0360,SNI_0720,SNI_1440
0,0,61.36267762,-139.26282,592876,6804421,1271.7,9.4,164,0,,-0.075,-0.041,-0.011,-0.011,-0.016,-0.016,-0.037,,-0.065,-0.069,-0.076,-0.069,-0.052,-0.024,0.089,0.066,0.016,0.012,-0.001,-0.003,0.001,0.01,-0.049,0.029,0.003,0.001,0.01,0.026,0.037,0.07,0.159,27.3,132.4,330.9,606.8,759.6,765.9,243.9,72.5
0,0,61.36267762,-139.26282,592876,6804421,1271.7,79.9,226,0,,-0.068,-0.01,-0.011,-0.013,-0.018,-0.016,0.01,,0.122,-0.054,-0.063,-0.057,-0.04,-0.02,-0.007,0.047,0.065,0.006,0,-0.002,0.005,0.014,0.007,-0.004,0.002,0,0.006,0.023,0.031,0.038,0.048,48.5,65.3,510.1,1254.6,2970.4,5078,5034.9,2071.3
0,250,61.36431881,-139.2598479,593030,6804608,1257.7,130.6,251,0,,0.015,0.001,-0.019,-0.027,-0.045,-0.058,,,-0.038,-0.035,-0.047,-0.058,-0.059,-0.079,,0.003,0.019,0.001,-0.018,-0.023,-0.018,-0.001,0.029,-0.048,-0.006,-0.015,-0.017,-0.011,-0.007,-0.007,-0.003,30.8,152.1,389.2,713.9,812.3,913.9,399.7,110.1
0,500,61.36583805,-139.2569646,593179.6,6804781.3,1268.5,145.8,180,0,,,0.043,-0.031,-0.038,-0.064,-0.058,0.052,,,0.026,0.016,0.004,0.013,0.038,-0.026,-0.007,-0.006,-0.047,-0.039,-0.035,-0.031,-0.013,0.025,-0.021,0.012,0.005,-0.003,0.006,0.018,0.014,0.05,68.4,123.8,288.8,544.9,650.4,477.9,197.1,16
0,750,61.36776715,-139.2535567,593356,6805001,1233.2,238.9,160,0,,0.045,0.028,0.002,-0.022,-0.043,-0.042,-0.025,,0.04,0.049,0.037,0.031,0.046,0.073,0.091,-0.021,0.023,-0.008,-0.025,-0.03,-0.02,0.003,0.013,-0.019,0.029,0.008,-0.001,0.013,0.031,0.031,0.026,36.1,122.3,370.8,770.2,1274,1790.1,1565.3,498.5
0,1000,61.36937689,-139.2502485,593528,6805185,1215.9,228.2,174,0,,0.149,0.045,0.008,-0.02,-0.054,-0.077,-0.086,,0.011,0.097,0.099,0.091,0.1,0.121,0.125,0.044,0.02,-0.018,-0.041,-0.05,-0.051,-0.035,-0.023,0.029,0.043,0.02,0.003,0.006,0.019,0.017,-0.003,46.1,155.1,507.4,1123.8,2089.2,1630.3,1966.6,1039.7
0,1000,61.36937689,-139.2502485,593528,6805185,1215.9,172.4,123,0,,0.136,0.05,0.01,-0.02,-0.053,-0.077,-0.074,,0.074,0.113,0.11,0.1,0.107,0.116,0.057,-0.07,0.005,-0.022,-0.042,-0.052,-0.054,-0.046,-0.03,-0.01,0.049,0.023,0,0.002,0.022,0.056,0.009,26.5,143.9,393.8,1156.1,1340.4,843.6,753.8,415.1
0,1250,61.37106531,-139.2474783,593671,6805377,1220,227.6,142,0,,0.057,0.048,0.019,-0.014,-0.063,,,,0.117,0.141,0.143,0.128,0.106,,,0.061,0.029,-0.02,-0.048,-0.062,-0.074,-0.045,0.044,0.085,0.054,0.024,-0.01,-0.027,-0.036,-0.051,-0.012,54.4,173.2,406.7,839.5,845.2,922,600.2,130.4
0,1500,61.37273332,-139.2445218,593824,6805567,1268.6,94.6,240,0,,,0.01,0.012,0.004,-0.003,-0.003,,,,0.254,0.268,0.273,0.274,0.277,,0.047,0.048,0.004,-0.01,-0.014,-0.023,-0.043,,0.065,0.072,0.074,0.039,0.013,-0.012,-0.05,,87.6,101,321.7,971.1,2270.6,3454.6,1848.6,136.1
0,1750,61.3744163,-139.2413395,593989,6805759,1290.4,160.8,122,0,,0.153,0.099,0.064,0.05,0.041,0.015,-0.028,,0.169,0.21,0.233,0.23,0.214,0.186,0.134,,0.01,0.008,-0.007,-0.028,-0.04,-0.059,-0.074,,0.089,0.064,0.02,-0.009,-0.032,-0.048,-0.068,13.1,100.7,254.4,565.1,783.3,905.3,307.1,51.4
0,2000,61.37605507,-139.2382156,594151,6805946,1275.5,190.2,162,0,,0.108,0.095,0.056,0.039,0.019,-0.016,-0.068,,0.133,0.173,0.192,0.177,0.148,0.111,0.177,0.015,0.036,0.005,-0.017,-0.037,-0.051,-0.062,-0.071,0.133,0.083,0.046,0.001,-0.03,-0.045,-0.048,-0.06,34.8,171.7,420.1,889.3,1133.3,868.9,158.2,29.3
